,realtime_start,realtime_end,date,value
142,2024-11-08,2024-11-08,2012-09-01,75.0
143,2024-11-08,2024-11-08,2012-10-01,128.57143
144,2024-11-08,2024-11-08,2012-11-01,100.0
145,2024-11-08,2024-11-08,2012-12-01,128.57143
146,2024-11-08,2024-11-08,2013-01-01,75.0
147,2024-11-08,2024-11-08,2013-02-01,50.0
148,2024-11-08,2024-11-08,2013-03-01,7.69231
149,2024-11-08,2024-11-08,2013-04-01,7.14286
150,2024-11-08,2024-11-08,2013-05-01,-31.25
151,2024-11-08,2024-11-08,2013-06-01,-43.75
152,2024-11-08,2024-11-08,2013-07-01,-43.75
153,2024-11-08,2024-11-08,2013-08-01,-38.46154
154,2024-11-08,2024-11-08,2013-09-01,-42.85714
155,2024-11-08,2024-11-08,2013-10-01,-43.75
156,2024-11-08,2024-11-08,2013-11-01,-50.0
157,2024-11-08,2024-11-08,2013-12-01,-43.75
158,2024-11-08,2024-11-08,2014-01-01,-50.0
159,2024-11-08,2024-11-08,2014-02-01,-53.33333
160,2024-11-08,2024-11-08,2014-03-01,-42.85714
161,2024-11-08,2024-11-08,2014-04-01,-40.0
162,2024-11-08,2024-11-08,2014-05-01,-18.18182
163,2024-11-08,2024-11-08,2014-06-01,11.11111
164,2024-11-08,2024-11-08,2014-07-01,0.0
165,2024-11-08,2024-11-08,2014-08-01,12.5
166,2024-11-08,2024-11-08,2014-09-01,12.5
167,2024-11-08,2024-11-08,2014-10-01,0.0
168,2024-11-08,2024-11-08,2014-11-01,12.5
169,2024-11-08,2024-11-08,2014-12-01,33.33333
170,2024-11-08,2024-11-08,2015-01-01,57.14286
171,2024-11-08,2024-11-08,2015-02-01,57.14286
172,2024-11-08,2024-11-08,2015-03-01,37.5
173,2024-11-08,2024-11-08,2015-04-01,33.33333
174,2024-11-08,2024-11-08,2015-05-01,33.33333
175,2024-11-08,2024-11-08,2015-06-01,30.0
176,2024-11-08,2024-11-08,2015-07-01,44.44444
177,2024-11-08,2024-11-08,2015-08-01,55.55556
178,2024-11-08,2024-11-08,2015-09-01,55.55556
179,2024-11-08,2024-11-08,2015-10-01,33.33333
180,2024-11-08,2024-11-08,2015-11-01,33.33333
181,2024-11-08,2024-11-08,2015-12-01,100.0
182,2024-11-08,2024-11-08,2016-01-01,209.09091
183,2024-11-08,2024-11-08,2016-02-01,245.45455
184,2024-11-08,2024-11-08,2016-03-01,227.27273
185,2024-11-08,2024-11-08,2016-04-01,208.33333
186,2024-11-08,2024-11-08,2016-05-01,208.33333
187,2024-11-08,2024-11-08,2016-06-01,192.30769
188,2024-11-08,2024-11-08,2016-07-01,200.0
189,2024-11-08,2024-11-08,2016-08-01,185.71429
190,2024-11-08,2024-11-08,2016-09-01,185.71429
191,2024-11-08,2024-11-08,2016-10-01,233.33333
192,2024-11-08,2024-11-08,2016-11-01,241.66667
193,2024-11-08,2024-11-08,2016-12-01,125.0
194,2024-11-08,2024-11-08,2017-01-01,91.17647
195,2024-11-08,2024-11-08,2017-02-01,73.68421
196,2024-11-08,2024-11-08,2017-03-01,119.44444
197,2024-11-08,2024-11-08,2017-04-01,143.24324
198,2024-11-08,2024-11-08,2017-05-01,145.94595
199,2024-11-08,2024-11-08,2017-06-01,173.68421
200,2024-11-08,2024-11-08,2017-07-01,194.87179
201,2024-11-08,2024-11-08,2017-08-01,190.0
202,2024-11-08,2024-11-08,2017-09-01,187.5
203,2024-11-08,2024-11-08,2017-10-01,187.5
204,2024-11-08,2024-11-08,2017-11-01,182.92683
205,2024-11-08,2024-11-08,2017-12-01,140.74074
206,2024-11-08,2024-11-08,2018-01-01,116.92308
207,2024-11-08,2024-11-08,2018-02-01,115.15152
208,2024-11-08,2024-11-08,2018-03-01,91.13924
209,2024-11-08,2024-11-08,2018-04-01,87.77778
210,2024-11-08,2024-11-08,2018-05-01,86.81319
211,2024-11-08,2024-11-08,2018-06-01,75.0
212,2024-11-08,2024-11-08,2018-07-01,66.08696
213,2024-11-08,2024-11-08,2018-08-01,64.65517
214,2024-11-08,2024-11-08,2018-09-01,69.56522
215,2024-11-08,2024-11-08,2018-10-01,90.43478
216,2024-11-08,2024-11-08,2018-11-01,89.65517
217,2024-11-08,2024-11-08,2018-12-01,74.61538
218,2024-11-08,2024-11-08,2019-01-01,70.21277
219,2024-11-08,2024-11-08,2019-02-01,69.01408
220,2024-11-08,2024-11-08,2019-03-01,59.60265
221,2024-11-08,2024-11-08,2019-04-01,43.19527
222,2024-11-08,2024-11-08,2019-05-01,40.58824
