date,realtime_start,realtime_end,value
2014-12-01,2024-11-05,2024-11-05,-16.41791
2015-01-01,2024-11-05,2024-11-05,-13.63636
2015-02-01,2024-11-05,2024-11-05,-17.91045
2015-03-01,2024-11-05,2024-11-05,-19.40299
2015-04-01,2024-11-05,2024-11-05,-12.90323
2015-05-01,2024-11-05,2024-11-05,-11.11111
2015-06-01,2024-11-05,2024-11-05,-13.11475
2015-07-01,2024-11-05,2024-11-05,-16.12903
2015-08-01,2024-11-05,2024-11-05,-16.39344
2015-09-01,2024-11-05,2024-11-05,-15.25424
2015-10-01,2024-11-05,2024-11-05,-12.2807
2015-11-01,2024-11-05,2024-11-05,-12.06897
2015-12-01,2024-11-05,2024-11-05,-10.71429
2016-01-01,2024-11-05,2024-11-05,-15.78947
2016-02-01,2024-11-05,2024-11-05,-10.90909
2016-03-01,2024-11-05,2024-11-05,-7.40741
2016-04-01,2024-11-05,2024-11-05,-5.55556
2016-05-01,2024-11-05,2024-11-05,-14.28571
2016-06-01,2024-11-05,2024-11-05,-7.54717
2016-07-01,2024-11-05,2024-11-05,-7.69231
2016-08-01,2024-11-05,2024-11-05,-3.92157
2016-09-01,2024-11-05,2024-11-05,0.0
2016-10-01,2024-11-05,2024-11-05,-2.0
2016-11-01,2024-11-05,2024-11-05,-7.84314
2016-12-01,2024-11-05,2024-11-05,-6.0
2017-01-01,2024-11-05,2024-11-05,-2.08333
2017-02-01,2024-11-05,2024-11-05,-6.12245
2017-03-01,2024-11-05,2024-11-05,-12.0
2017-04-01,2024-11-05,2024-11-05,-13.72549
2017-05-01,2024-11-05,2024-11-05,-8.33333
2017-06-01,2024-11-05,2024-11-05,-12.2449
2017-07-01,2024-11-05,2024-11-05,-10.41667
2017-08-01,2024-11-05,2024-11-05,-10.20408
2017-09-01,2024-11-05,2024-11-05,-14.0
2017-10-01,2024-11-05,2024-11-05,-14.28571
2017-11-01,2024-11-05,2024-11-05,-10.6383
2017-12-01,2024-11-05,2024-11-05,-12.76596
2018-01-01,2024-11-05,2024-11-05,-14.89362
2018-02-01,2024-11-05,2024-11-05,-10.86957
2018-03-01,2024-11-05,2024-11-05,-9.09091
2018-04-01,2024-11-05,2024-11-05,-9.09091
2018-05-01,2024-11-05,2024-11-05,-13.63636
2018-06-01,2024-11-05,2024-11-05,-6.97674
2018-07-01,2024-11-05,2024-11-05,-11.62791
2018-08-01,2024-11-05,2024-11-05,-13.63636
2018-09-01,2024-11-05,2024-11-05,-13.95349
2018-10-01,2024-11-05,2024-11-05,-9.52381
2018-11-01,2024-11-05,2024-11-05,-9.52381
