date,realtime_start,realtime_end,value
2010-02-01,2024-11-05,2024-11-05,2.15134
2010-03-01,2024-11-05,2024-11-05,2.28617
2010-04-01,2024-11-05,2024-11-05,2.20677
2010-05-01,2024-11-05,2024-11-05,2.00355
2010-06-01,2024-11-05,2024-11-05,1.12156
2010-07-01,2024-11-05,2024-11-05,1.34078
2010-08-01,2024-11-05,2024-11-05,1.15018
2010-09-01,2024-11-05,2024-11-05,1.11831
2010-10-01,2024-11-05,2024-11-05,1.1667
2010-11-01,2024-11-05,2024-11-05,1.08454
2010-12-01,2024-11-05,2024-11-05,1.43779
2011-01-01,2024-11-05,2024-11-05,1.70078
2011-02-01,2024-11-05,2024-11-05,2.1249
2011-03-01,2024-11-05,2024-11-05,2.61924
2011-04-01,2024-11-05,2024-11-05,3.07723
2011-05-01,2024-11-05,2024-11-05,3.45897
2011-06-01,2024-11-05,2024-11-05,3.50232
2011-07-01,2024-11-05,2024-11-05,3.57988
2011-08-01,2024-11-05,2024-11-05,3.755
2011-09-01,2024-11-05,2024-11-05,3.81262
2011-10-01,2024-11-05,2024-11-05,3.52227
2011-11-01,2024-11-05,2024-11-05,3.45143
2011-12-01,2024-11-05,2024-11-05,3.06207
2012-01-01,2024-11-05,2024-11-05,3.00877
2012-02-01,2024-11-05,2024-11-05,2.89818
2012-03-01,2024-11-05,2024-11-05,2.58288
2012-04-01,2024-11-05,2024-11-05,2.27316
2012-05-01,2024-11-05,2024-11-05,1.73794
2012-06-01,2024-11-05,2024-11-05,1.65387
2012-07-01,2024-11-05,2024-11-05,1.41751
2012-08-01,2024-11-05,2024-11-05,1.68593
2012-09-01,2024-11-05,2024-11-05,1.94972
2012-10-01,2024-11-05,2024-11-05,2.15568
2012-11-01,2024-11-05,2024-11-05,1.79602
2012-12-01,2024-11-05,2024-11-05,1.7595
2013-01-01,2024-11-05,2024-11-05,1.68406
2013-02-01,2024-11-05,2024-11-05,2.01814
2013-03-01,2024-11-05,2024-11-05,1.51875
2013-04-01,2024-11-05,2024-11-05,1.13881
2013-05-01,2024-11-05,2024-11-05,1.39039
2013-06-01,2024-11-05,2024-11-05,1.71579
2013-07-01,2024-11-05,2024-11-05,1.88547
2013-08-01,2024-11-05,2024-11-05,1.53881
2013-09-01,2024-11-05,2024-11-05,1.09473
2013-10-01,2024-11-05,2024-11-05,0.8768
2013-11-01,2024-11-05,2024-11-05,1.23287
2013-12-01,2024-11-05,2024-11-05,1.51284
2014-01-01,2024-11-05,2024-11-05,1.55776
