date,realtime_start,realtime_end,value
2022-01-01,2024-11-05,2024-11-05,-11.11111
2022-02-01,2024-11-05,2024-11-05,0.0
2022-03-01,2024-11-05,2024-11-05,185.71429
2022-04-01,2024-11-05,2024-11-05,371.42857
2022-05-01,2024-11-05,2024-11-05,1183.33333
2022-06-01,2024-11-05,2024-11-05,1412.5
2022-07-01,2024-11-05,2024-11-05,1580.0
2022-08-01,2024-11-05,2024-11-05,2488.88889
2022-09-01,2024-11-05,2024-11-05,3100.0
2022-10-01,2024-11-05,2024-11-05,3750.0
2022-11-01,2024-11-05,2024-11-05,4625.0
2022-12-01,2024-11-05,2024-11-05,5025.0
2023-01-01,2024-11-05,2024-11-05,5312.5
2023-02-01,2024-11-05,2024-11-05,5612.5
2023-03-01,2024-11-05,2024-11-05,2225.0
2023-04-01,2024-11-05,2024-11-05,1363.63636
2023-05-01,2024-11-05,2024-11-05,557.14286
2023-06-01,2024-11-05,2024-11-05,319.83471
2023-07-01,2024-11-05,2024-11-05,204.7619
2023-08-01,2024-11-05,2024-11-05,128.75536
2023-09-01,2024-11-05,2024-11-05,108.20313
2023-10-01,2024-11-05,2024-11-05,73.05195
2023-11-01,2024-11-05,2024-11-05,41.00529
2023-12-01,2024-11-05,2024-11-05,30.0
2024-01-01,2024-11-05,2024-11-05,23.09469
2024-02-01,2024-11-05,2024-11-05,16.6302
2024-03-01,2024-11-05,2024-11-05,14.62366
2024-04-01,2024-11-05,2024-11-05,10.35197
2024-05-01,2024-11-05,2024-11-05,5.33597
2024-06-01,2024-11-05,2024-11-05,4.92126
2024-07-01,2024-11-05,2024-11-05,4.10156
2024-08-01,2024-11-05,2024-11-05,0.0
2024-09-01,2024-11-05,2024-11-05,-3.75235
2024-10-01,2024-11-05,2024-11-05,-9.38086
