time,open,high,low,close,tick_volume,spread,real_volume
2021-10-12,1753.316,1769.3,1750.71,1760.362,86455,200,0
2021-10-13,1760.331,1795.969,1757.826,1791.766,90062,200,0
2021-10-14,1791.76,1800.406,1786.647,1795.327,60943,200,0
2021-10-15,1795.277,1796.369,1764.652,1767.427,79588,200,0
2021-10-17,1766.961,1772.013,1764.565,1771.014,4854,200,0
2021-10-18,1771.046,1772.007,1760.276,1763.979,90609,200,0
2021-10-19,1763.98,1785.062,1763.269,1768.688,85398,200,0
2021-10-20,1768.694,1788.368,1766.839,1781.297,81103,200,0
2021-10-21,1781.345,1789.366,1776.245,1784.561,85968,200,0
2021-10-22,1784.583,1813.56,1782.595,1792.853,80363,200,0
2021-10-24,1792.926,1794.371,1792.388,1794.347,2853,200,0
2021-10-25,1794.376,1809.717,1792.182,1807.742,65579,200,0
2021-10-26,1807.787,1807.848,1782.191,1793.636,77582,200,0
2021-10-27,1793.657,1799.027,1783.397,1796.538,90839,200,0
2021-10-28,1796.564,1810.38,1791.986,1799.558,108939,200,0
2021-10-29,1799.572,1799.944,1771.896,1783.296,108242,200,0
2021-10-31,1783.269,1783.269,1779.055,1780.627,3127,200,0
2021-11-01,1780.637,1795.686,1780.266,1792.107,77531,200,0
2021-11-02,1792.138,1796.349,1786.064,1787.125,77068,200,0
2021-11-03,1787.099,1787.579,1758.534,1777.434,111350,200,0
2021-11-04,1777.404,1798.894,1770.762,1791.083,87527,200,0
2021-11-05,1791.079,1818.269,1784.842,1818.127,101552,200,0
2021-11-07,1815.75,1818.072,1815.47,1815.973,2376,200,0
2021-11-08,1816.02,1826.395,1812.403,1824.531,81633,200,0
2021-11-09,1824.561,1832.624,1819.119,1829.782,88038,200,0
2021-11-10,1829.774,1868.193,1822.076,1848.344,113364,200,0
2021-11-11,1848.325,1865.739,1842.86,1861.889,82064,200,0
2021-11-12,1861.884,1868.574,1845.229,1864.361,86346,200,0
2021-11-14,1866.804,1867.783,1865.24,1865.49,2252,200,0
2021-11-15,1865.512,1870.267,1856.308,1862.227,78156,200,0
2021-11-16,1862.225,1877.067,1849.644,1850.389,99076,200,0
2021-11-17,1850.391,1868.063,1849.53,1866.664,78540,200,0
2021-11-18,1866.694,1870.883,1855.023,1859.503,83751,200,0
2021-11-19,1859.502,1865.621,1842.815,1846.196,101416,200,0
2021-11-21,1842.207,1847.169,1841.485,1845.056,3853,200,0
2021-11-22,1845.075,1849.046,1802.202,1808.987,114374,200,0
2021-11-23,1808.992,1812.37,1781.914,1791.181,112714,200,0
2021-11-24,1791.188,1796.354,1778.15,1789.676,98660,200,0
2021-11-25,1789.672,1795.027,1787.851,1792.458,44288,200,0
2021-11-26,1792.484,1815.467,1780.054,1787.277,94126,200,0
2021-11-28,1788.597,1795.644,1780.188,1795.102,6533,200,0
2021-11-29,1795.065,1799.361,1781.122,1786.516,98878,200,0
2021-11-30,1786.498,1808.561,1769.831,1773.418,139355,200,0
2021-12-01,1773.414,1794.267,1772.598,1781.326,121616,200,0
2021-12-02,1781.324,1781.971,1761.841,1769.0,103980,200,0
2021-12-03,1768.995,1786.072,1766.078,1783.414,109947,200,0
2021-12-05,1782.102,1784.094,1780.691,1782.937,2238,200,0
2021-12-06,1782.915,1787.683,1775.506,1780.834,77834,200,0
2021-12-07,1780.864,1787.791,1771.828,1784.646,74339,200,0
2021-12-08,1784.644,1793.061,1779.53,1783.269,78985,200,0
2021-12-09,1783.272,1787.554,1773.417,1776.206,77250,200,0
2021-12-10,1776.208,1789.123,1769.919,1782.805,76597,200,0
2021-12-12,1782.732,1784.389,1782.71,1783.117,1692,200,0
2021-12-13,1783.118,1791.381,1781.725,1785.77,62138,200,0
2021-12-14,1785.771,1789.462,1766.419,1772.545,74016,200,0
2021-12-15,1772.526,1781.434,1753.053,1779.777,104172,200,0
2021-12-16,1779.795,1799.621,1775.504,1798.952,83310,200,0
2021-12-17,1798.976,1814.191,1795.794,1798.064,76672,200,0
2021-12-19,1800.61,1801.676,1799.386,1799.98,2293,200,0
2021-12-20,1799.992,1804.089,1788.286,1791.468,72701,200,0
2021-12-21,1791.499,1800.238,1784.568,1790.547,68065,200,0
2021-12-22,1790.514,1804.962,1785.846,1803.548,61563,200,0
2021-12-23,1803.564,1810.687,1798.609,1808.451,57403,200,0
2021-12-26,1806.207,1808.526,1805.977,1807.259,1459,200,0
2021-12-27,1807.26,1813.384,1802.871,1812.505,53318,200,0
2021-12-28,1812.507,1820.191,1805.006,1806.319,58069,200,0
2021-12-29,1806.288,1807.626,1789.212,1804.656,66307,200,0
2021-12-30,1804.631,1817.117,1796.118,1815.805,61949,200,0
2021-12-31,1815.831,1828.722,1814.704,1827.615,57510,200,0
2022-01-02,1830.615,1831.73,1828.021,1828.404,1688,200,0
2022-01-03,1828.374,1831.542,1798.104,1803.812,76009,200,0
2022-01-04,1803.805,1816.68,1798.452,1813.873,78854,200,0
2022-01-05,1813.885,1829.591,1808.259,1810.275,79724,200,0
2022-01-06,1810.306,1811.475,1786.332,1791.365,98834,200,0
2022-01-07,1791.381,1798.604,1782.289,1796.899,81102,200,0
2022-01-09,1794.898,1796.069,1794.505,1795.087,1989,200,0
2022-01-10,1795.117,1802.899,1790.033,1801.195,77447,200,0
2022-01-11,1801.217,1823.249,1801.217,1820.55,77430,200,0
2022-01-12,1820.561,1828.061,1814.465,1825.288,74390,200,0
2022-01-13,1825.318,1828.107,1812.206,1820.754,71649,200,0
2022-01-14,1820.785,1829.045,1814.63,1817.639,79130,200,0
2022-01-16,1817.663,1818.081,1815.859,1816.48,1634,200,0
2022-01-17,1816.477,1823.141,1813.109,1819.047,41111,200,0
2022-01-18,1819.095,1822.726,1805.622,1814.365,92036,200,0
2022-01-19,1814.351,1843.326,1810.075,1838.495,83978,200,0
2022-01-20,1838.496,1847.646,1835.68,1838.889,81810,200,0
2022-01-21,1838.895,1843.095,1828.126,1834.664,85165,200,0
2022-01-23,1833.144,1837.088,1833.123,1834.669,2717,200,0
2022-01-24,1834.699,1844.124,1829.487,1843.521,90979,200,0
2022-01-25,1843.527,1853.785,1834.517,1849.526,86388,200,0
2022-01-26,1849.505,1849.51,1814.84,1821.928,107560,200,0
2022-01-27,1821.924,1821.949,1791.677,1797.205,109475,200,0
2022-01-28,1797.232,1799.343,1779.895,1791.634,97691,200,0
2022-01-30,1789.345,1790.575,1788.327,1789.464,2523,200,0
2022-01-31,1789.494,1799.841,1785.425,1797.738,81387,200,0
2022-02-01,1797.736,1808.434,1795.718,1800.694,81702,200,0
2022-02-02,1800.711,1810.736,1794.309,1807.83,73881,200,0
2022-02-03,1807.797,1808.931,1788.521,1805.719,88784,200,0
2022-02-04,1805.691,1814.862,1792.076,1807.732,93100,200,0
2022-02-06,1808.436,1811.438,1807.877,1810.028,2355,200,0
